Medicion;Nº;Plano;Este;Norte;Rb;Bz
Brújula;SUP-01;Estrato;494120;8555551;310;30
Brújula;SUP-02;Estrato;494210;8555010;338;41
Brújula;SUP-03;Estrato;494702;8553965;299;87
Brújula;SUP-04;Estrato;495636;8553795;299;45
Brújula;SUP-05;Estrato;496067;8553997;344;22
Brújula;SUP-06;Estrato;496803;8554601;180;24
Brújula;SUP-07;Estrato;498904;8554101;95;23
Brújula;SUP-08;Estrato;498503;8558078;346;29
Brújula;SUP-09;Estrato;498252;8557625;260;31
Brújula;SUP-10;Estrato;491429;8547625;88;19
Brújula;SUP-11;Estrato;491670;8546689;22;20
Brújula;SUP-12;Estrato;492264;8545591;292;19
Brújula;SUP-13;Estrato;491470;8544720;340;12
Brújula;SUP-14;Estrato;490892;8544347;131;21
Brújula;SUP-15;Estrato;490409;8543119;83;22
Brújula;SUP-16;Estrato;489511;8541755;94;16
Brújula;SUP-17;Estrato;486382;8541550;125;32
Brújula;SUP-18;Estrato;483529;8537671;295;34
Brújula;SUP-19;Estrato;482065;8538098;287;10
Brújula;SUP-20;Estrato;481517;8536496;280;32
Brújula;SUP-21;Estrato;481574;8536110;290;33
Brújula;SUP-22;Estrato;478960;8536191;322;26
Brújula;SUP-23;Estrato;477543;8535934;244;30
Brújula;SUP-24;Estrato;476568;8535417;276;30
Brújula;SUP-25;Estrato;491437;8548475;206;32
Brújula;SUP-26;Estrato;492704;8549843;124;30
Brújula;SUP-27;Estrato;492643;8550519;162;15
Brújula;SUP-28;Estrato;491617;8551696;150;39
Brújula;SUP-29;Estrato;490953;8552686;170;40
Brújula;SUP-30;Estrato;488326;8554212;116;33
FieldMove Clino;SUP-01;Estrato;494124;8555554;295;37
FieldMove Clino;SUP-02;Estrato;494222;8555034;335;43
FieldMove Clino;SUP-03;Estrato;494731;8553984;295;88
FieldMove Clino;SUP-04;Estrato;495631;8553807;303;47
FieldMove Clino;SUP-05;Estrato;496087;8554017;345;23
FieldMove Clino;SUP-06;Estrato;496813;8554603;186;25
FieldMove Clino;SUP-07;Estrato;498797;8554051;86;22
FieldMove Clino;SUP-08;Estrato;498525;8558098;349;28
FieldMove Clino;SUP-09;Estrato;498287;8557578;252;32
FieldMove Clino;SUP-10;Estrato;491449;8547657;77;17
FieldMove Clino;SUP-11;Estrato;491687;8546706;11;17
FieldMove Clino;SUP-12;Estrato;492262;8545601;297;17
FieldMove Clino;SUP-13;Estrato;491482;8544738;334;14
FieldMove Clino;SUP-14;Estrato;490908;8544373;126;21
FieldMove Clino;SUP-15;Estrato;490432;8543145;83;22
FieldMove Clino;SUP-16;Estrato;489522;8541762;87;20
FieldMove Clino;SUP-17;Estrato;486390;8541573;129;34
FieldMove Clino;SUP-18;Estrato;483543;8537668;294;33
FieldMove Clino;SUP-19;Estrato;482091;8538131;282;9
FieldMove Clino;SUP-20;Estrato;481518;8536505;296;34
FieldMove Clino;SUP-21;Estrato;481583;8536129;290;32
FieldMove Clino;SUP-22;Estrato;478961;8536194;323;28
FieldMove Clino;SUP-23;Estrato;477553;8535949;254;27
FieldMove Clino;SUP-24;Estrato;476589;8535417;263;30
FieldMove Clino;SUP-25;Estrato;491448;8548487;202;31
FieldMove Clino;SUP-26;Estrato;492716;8549869;126;32
FieldMove Clino;SUP-27;Estrato;492651;8550544;154;16
FieldMove Clino;SUP-28;Estrato;491632;8551716;154;38
FieldMove Clino;SUP-29;Estrato;491024;8552667;167;41
FieldMove Clino;SUP-30;Estrato;488346;8554225;110;33
